빛나는
어설픈
아름다운
투명한
사악한
귀여운
사랑스런
똑똑한
풍성한
차가운
따뜻한
싱그러운
충성스런
강직한
기특한
고운
기운찬
깡이있는
긍정적인
느긋한
놀라운
낭만적인
로맨틱한
믿음직한
발랄한
산뜻한
순한
섬세한
솔직한
씩씩한
신중한
아리따운
유쾌한
착한
침착한
친절한
든든한
포근한
편안한
화끈한
우아한
튼튼한
훌륭한
화사한
합이적인
친근한
소극적인
알뜰한
매콤한
달콤한
